Wavelength,a,b
715.108,15.955,-0.996
715.157,15.423,-0.986
715.207,15.338,-0.987
715.257,15.382,-0.986
715.307,15.397,-0.987
715.356,15.408,-0.987
715.406,15.559,-0.987
715.456,15.463,-0.986
715.506,15.601,-0.988
715.555,15.526,-0.987
715.605,15.695,-0.988
715.655,15.569,-0.987
715.704,15.63,-0.988
715.754,15.591,-0.987
715.804,15.624,-0.987
715.853,15.481,-0.986
715.903,15.659,-0.988
715.953,15.777,-0.988
716.002,15.795,-0.987
716.052,15.632,-0.987
716.101,15.797,-0.987
716.151,15.684,-0.987
716.201,15.726,-0.986
716.25,15.674,-0.986
716.3,15.823,-0.988
716.349,15.779,-0.986
716.399,15.682,-0.986
716.448,15.751,-0.986
716.498,15.811,-0.986
716.547,15.865,-0.986
716.597,16.183,-0.994
716.646,15.829,-0.986
716.696,16.016,-0.987
716.745,15.938,-0.986
716.795,16.037,-0.987
716.844,16.121,-0.986
716.894,16.223,-0.987
716.943,16.403,-0.988
716.993,16.365,-0.987
717.042,16.379,-0.987
717.091,16.427,-0.987
717.141,16.328,-0.987
717.19,16.425,-0.988
717.24,16.581,-0.991
717.289,16.42,-0.987
717.338,16.365,-0.988
717.388,16.534,-0.988
717.437,16.317,-0.988
717.486,16.322,-0.988
717.536,16.349,-0.988
717.585,16.192,-0.987
717.634,15.996,-0.987
717.684,16.036,-0.987
717.733,16.103,-0.987
717.782,16.071,-0.987
717.831,15.85,-0.987
717.881,16.156,-0.987
717.93,15.963,-0.987
717.979,16.043,-0.987
718.028,16.026,-0.987
718.078,16.107,-0.986
718.127,16.013,-0.987
718.176,16.151,-0.989
718.225,15.949,-0.986
718.274,16.049,-0.986
718.324,16.091,-0.987
718.373,16.122,-0.987
718.422,16.265,-0.989
718.471,16.335,-0.989
718.52,16.12,-0.987
718.569,16.104,-0.987
718.619,16.27,-0.987
718.668,16.277,-0.987
718.717,16.203,-0.987
718.766,16.136,-0.987
718.815,16.23,-0.987
718.864,16.208,-0.987
718.913,16.293,-0.987
718.962,16.294,-0.987
719.011,16.274,-0.988
719.06,16.312,-0.987
719.109,16.453,-0.988
719.158,16.299,-0.988
719.207,16.416,-0.988
719.256,16.342,-0.988
719.305,16.635,-0.989
719.354,16.389,-0.987
719.403,16.61,-0.988
719.452,16.432,-0.988
719.501,16.593,-0.988
719.55,16.553,-0.988
719.599,16.46,-0.988
719.648,16.422,-0.988
719.697,16.635,-0.99
719.746,16.558,-0.989
719.795,16.472,-0.987
719.844,16.44,-0.987
719.893,16.615,-0.988
719.941,16.662,-0.988
719.99,16.715,-0.987
720.039,16.732,-0.987
720.088,16.714,-0.987
720.137,16.617,-0.987
720.186,16.901,-0.987
720.234,16.737,-0.987
720.283,16.794,-0.987
720.332,16.692,-0.987
720.381,16.698,-0.987
720.43,16.81,-0.987
720.478,16.901,-0.987
720.527,16.94,-0.987
720.576,16.815,-0.988
720.625,17.017,-0.987
720.673,16.977,-0.988
720.722,16.966,-0.99
720.771,16.834,-0.987
720.82,16.94,-0.987
720.868,17.119,-0.991
720.917,16.912,-0.988
720.966,16.854,-0.988
721.014,16.933,-0.988
721.063,16.964,-0.988
721.112,16.922,-0.988
721.16,16.984,-0.989
721.209,16.969,-0.988
721.258,16.993,-0.988
721.306,16.893,-0.988
721.355,16.799,-0.988
721.403,16.857,-0.988
721.452,17.011,-0.989
721.5,16.936,-0.988
721.549,17.044,-0.988
721.598,17.01,-0.988
721.646,16.963,-0.988
721.695,17.005,-0.988
721.743,17.036,-0.988
721.792,16.973,-0.987
721.84,16.977,-0.988
721.889,16.907,-0.988
721.937,16.995,-0.988
721.986,17.091,-0.989
722.034,17.07,-0.988
722.083,17.024,-0.987
722.131,16.977,-0.987
722.18,17.071,-0.988
722.228,17.139,-0.987
722.276,17.123,-0.988
722.325,16.959,-0.988
722.373,17.091,-0.988
722.422,17.017,-0.988
722.47,17.233,-0.989
722.518,17.035,-0.988
722.567,17.178,-0.989
722.615,16.894,-0.988
722.664,17.105,-0.988
722.712,17.165,-0.988
722.76,17.188,-0.988
722.809,17.131,-0.988
722.857,17.423,-0.989
722.905,17.223,-0.988
722.953,17.291,-0.989
723.002,17.463,-0.991
723.05,17.411,-0.989
723.098,17.299,-0.989
723.147,17.455,-0.989
723.195,17.545,-0.99
723.243,17.305,-0.988
723.291,17.359,-0.988
723.34,17.382,-0.988
723.388,17.402,-0.988
723.436,17.574,-0.991
723.484,17.365,-0.988
723.532,17.508,-0.989
723.58,17.469,-0.988
723.629,17.452,-0.989
723.677,17.624,-0.991
723.725,17.384,-0.988
723.773,17.536,-0.989
723.821,17.256,-0.987
723.869,17.496,-0.988
723.917,17.337,-0.987
723.966,17.382,-0.988
724.014,17.387,-0.988
724.062,17.411,-0.989
724.11,17.511,-0.988
724.158,17.444,-0.988
724.206,17.48,-0.988
724.254,17.598,-0.988
724.302,17.548,-0.988
724.35,17.549,-0.988
724.398,17.572,-0.988
724.446,17.648,-0.988
724.494,17.558,-0.988
724.542,17.62,-0.988
724.59,17.736,-0.989
724.638,17.646,-0.989
724.686,17.692,-0.989
724.734,17.65,-0.989
724.782,17.658,-0.989
724.83,17.695,-0.989
724.878,17.797,-0.989
724.926,17.771,-0.989
724.974,17.797,-0.989
725.021,17.797,-0.99
725.069,17.823,-0.989
725.117,17.801,-0.989
725.165,17.901,-0.989
725.213,17.841,-0.988
725.261,17.929,-0.99
725.309,18.103,-0.991
725.356,17.829,-0.989
725.404,17.998,-0.989
725.452,17.861,-0.988
725.5,17.895,-0.989
725.548,17.944,-0.988
725.595,17.736,-0.989
725.643,17.855,-0.988
725.691,18.056,-0.989
725.739,17.82,-0.989
725.787,18.019,-0.988
725.834,17.805,-0.988
725.882,17.88,-0.989
725.93,18.009,-0.989
725.977,17.984,-0.988
726.025,17.968,-0.988
726.073,17.949,-0.988
726.12,18.145,-0.989
726.168,17.867,-0.989
726.216,17.966,-0.988
726.263,18.084,-0.989
726.311,18.022,-0.989
726.359,18.046,-0.989
726.406,18.201,-0.989
726.454,18.092,-0.988
726.502,17.991,-0.988
726.549,18.089,-0.989
726.597,18.215,-0.989
726.644,18.287,-0.99
726.692,18.089,-0.989
726.74,18.077,-0.989
726.787,18.295,-0.99
726.835,18.253,-0.989
726.882,18.141,-0.989
726.93,18.158,-0.989
726.977,18.272,-0.99
727.025,18.393,-0.99
727.072,18.11,-0.99
727.12,18.378,-0.99
727.167,18.25,-0.989
727.215,18.444,-0.992
727.262,18.381,-0.989
727.309,18.298,-0.99
727.357,18.289,-0.989
727.404,18.392,-0.989
727.452,18.293,-0.989
727.499,18.406,-0.99
727.547,18.399,-0.989
727.594,18.428,-0.989
727.641,18.573,-0.993
727.689,18.277,-0.988
727.736,18.283,-0.989
727.783,18.565,-0.991
727.831,18.291,-0.989
727.878,18.305,-0.988
727.925,18.244,-0.988
727.973,18.397,-0.989
728.02,18.291,-0.989
728.067,18.362,-0.988
728.115,18.477,-0.989
728.162,18.405,-0.989
728.209,18.497,-0.988
728.256,18.493,-0.989
728.304,18.626,-0.989
728.351,18.621,-0.989
728.398,18.786,-0.994
728.445,18.731,-0.989
728.493,18.754,-0.99
728.54,18.715,-0.989
728.587,18.727,-0.989
728.634,18.669,-0.989
728.681,19.354,-0.999
728.729,18.768,-0.99
728.776,18.72,-0.99
728.823,18.923,-0.991
728.87,18.795,-0.991
728.917,18.726,-0.99
728.964,18.543,-0.989
729.011,18.665,-0.99
729.058,18.699,-0.99
729.106,18.777,-0.989
729.153,18.746,-0.99
729.2,18.702,-0.989
729.247,18.776,-0.99
729.294,18.836,-0.99
729.341,18.764,-0.99
729.388,19.478,-0.997
729.435,18.753,-0.989
729.482,18.83,-0.99
729.529,18.757,-0.989
729.576,18.713,-0.989
729.623,18.708,-0.989
729.67,18.782,-0.989
729.717,18.73,-0.989
729.764,18.652,-0.989
